case_id,alasan_perlu_dicek
case_25f8c319e999558f1aa280d9cc1f1f5b,dokumen_kosong
case_52fb7cb38e12389652f01cf07296f656,dokumen_kosong
case_536cc190207bb7934be88d729c5e2eba,dokumen_kosong
case_6cc0a829e15775f650d7b058265fd0c7,dokumen_kosong
case_6ef79d3dd076d87149cdb2c2b398e1c0,dokumen_kosong
case_7e37734ca8cbc08a197bf12af0e5b047,dokumen_kosong
case_8b6f781cb5931fb092a2a901737ad583,dokumen_kosong
case_8e35462aeabbfa464724260501121ccf,dokumen_kosong
case_90692417bc12f58c5e9bc01e76c68716,dokumen_kosong
case_bcfc4a90badac04de14b9be2da040fcf,dokumen_kosong
case_d36e4d0d0a7b554f4c597617288e524e,dokumen_kosong
case_e190c2f0abe9f64e93399718551484a1,dokumen_kosong
case_e1e76e932f193cc37b4d91882bd29a19,dokumen_kosong
case_fc302956c2c1ff396493de72ceb52f4b,dokumen_kosong
case_zaed6ad84918de9c8802303934313039,dokumen_kosong
case_zaed8755f2403bac9293313535313132,dokumen_kosong
case_zaee0b18b974dc6e965e303830353331,dokumen_kosong
case_zaee0e42a7e27542ae00303834333134,dokumen_kosong
case_zaee0e5efcee7d8aa8c8313230363032,dokumen_kosong
case_zaf0f04b9371b6c0b51f313334363233,dokumen_kosong
case_zaf0f1ef7cc79cc890c1313535323134,dokumen_kosong
case_zaf0f51ad7c633b8a4e0313634303038,dokumen_kosong
case_zaf0f51ada3de0fa8a80313634303132,dokumen_kosong
case_zaf0f51ae04716ec92b9313634303232,dokumen_kosong
case_zaf0f51aebbe1c1eae92313634303432,dokumen_kosong
case_zaf0f51b00e011cea313313634313137,dokumen_kosong
case_zaf0f51b07a79c208990313634313238,dokumen_kosong
case_zaf0f51d64d0974cb505313635383234,dokumen_kosong
case_zaf0f51d66fc489aadc3313635383237,dokumen_kosong
case_zaf0f51d6e8e0c749cb8313635383430,dokumen_kosong
case_zaf0f51d709224ceacfb313635383433,dokumen_kosong
case_zaf0f51d728e8b96b20a313635383437,dokumen_kosong
case_zaf0f51d7df40f388acf313635393036,dokumen_kosong
case_zaf0f51d844733108b17313635393137,dokumen_kosong
case_zaf0f7715fc4c4a28c2c313630343335,dokumen_kosong
case_zaf101a68a7cdf1aaf7b313535303232,keutuhan_di_bawah_80persen
case_zaf111e4b730ce88a02b303735353434,dokumen_kosong
case_zaf111e4d68af736bd88303735363337,dokumen_kosong
case_zaf111e4d8737bf4a25b303735363430,dokumen_kosong
case_zaf162e984450fa6be66313032343131,dokumen_kosong
case_zaf162e995a82feeabcf313032343430,dokumen_kosong
